time,team,bets_pc,money_pc,bet365_total,bet365_odds,fanduel_total,fanduel_odds,betmgm_total,betmgm_odds,caesars-sportsbook_total,caesars-sportsbook_odds,pointsbet_total,pointsbet_odds,draftkings_total,draftkings_odds,hardrock_total,hardrock_odds,rivers-casino_total,rivers-casino_odds,Open_total,Open_odds,Consensus_total,Consensus_odds
2024-03-01 00:00:00+00:00,Milwaukee Bucks,0.63,0.55,218.0,1.9090909090909092,218.0,1.9523809523809523,218.5,1.9090909090909092,216.0,1.9090909090909092,218.5,1.8928571428571428,218.0,1.9090909090909092,217.0,1.8928571428571428,217.0,1.9090909090909092,,,,
2024-03-01 00:00:00+00:00,Charlotte Hornets,,0.45,,,-218.0,1.9090909090909092,-218.0,1.8695652173913042,-218.5,1.9090909090909092,-216.0,1.9090909090909092,-218.5,1.925925925925926,-218.0,1.9090909090909092,-217.0,1.9174311926605505,,,,
2024-03-01 00:00:00+00:00,Utah Jazz,0.72,0.55,225.5,1.9090909090909092,225.5,1.8928571428571428,225.5,1.8695652173913042,225.5,1.9090909090909092,226.0,1.9090909090909092,225.5,1.8695652173913042,225.5,1.9090909090909092,226.0,1.9090909090909092,225.5,1.9090909090909092,225.5,1.8928571428571428
2024-03-01 00:00:00+00:00,Orlando Magic,,0.45,-225.5,1.9090909090909092,-225.5,1.925925925925926,-225.5,1.9523809523809523,-225.5,1.9090909090909092,-226.0,1.9090909090909092,-225.5,1.9523809523809523,-225.5,1.9090909090909092,-226.0,1.9090909090909092,-225.5,1.9090909090909092,-225.5,1.925925925925926
2024-03-01 00:30:00+00:00,Golden State Warriors,0.7,0.19,223.0,1.9090909090909092,223.5,1.8928571428571428,223.5,1.9523809523809523,223.0,1.9090909090909092,222.5,1.9090909090909092,223.0,1.925925925925926,224.0,1.9090909090909092,223.0,1.8928571428571428,224.5,1.8928571428571428,223.5,1.8928571428571428
2024-03-01 00:30:00+00:00,New York Knicks,,0.81,-223.0,1.9090909090909092,-223.5,1.925925925925926,-223.5,1.8695652173913042,-223.0,1.9090909090909092,-222.5,1.9090909090909092,-223.0,1.8928571428571428,-224.0,1.9090909090909092,-223.0,1.9174311926605505,-224.5,1.925925925925926,-223.5,1.925925925925926
2024-03-01 00:30:00+00:00,Atlanta Hawks,0.17,0.18,221.5,1.9090909090909092,221.0,1.9090909090909092,221.5,1.9523809523809523,223.5,1.9090909090909092,220.5,1.9090909090909092,220.5,1.8928571428571428,221.0,1.9090909090909092,221.0,1.8928571428571428,227.5,1.9090909090909092,221.0,1.9090909090909092
2024-03-01 00:30:00+00:00,Brooklyn Nets,,0.82,-221.5,1.9090909090909092,-221.0,1.9090909090909092,-221.5,1.8695652173913042,-223.5,1.9090909090909092,-220.5,1.9090909090909092,-220.5,1.925925925925926,-221.0,1.9090909090909092,-221.0,1.9174311926605505,-227.5,1.9090909090909092,-221.0,1.9090909090909092
2024-03-01 01:30:00+00:00,Oklahoma City Thunder,0.39,0.72,238.0,1.9090909090909092,237.0,1.8928571428571428,238.5,1.9090909090909092,236.5,1.9090909090909092,238.0,1.9090909090909092,238.0,1.8928571428571428,238.0,1.9090909090909092,238.0,1.9090909090909092,239.5,1.9090909090909092,237.0,1.8928571428571428
2024-03-01 01:30:00+00:00,San Antonio Spurs,,0.28,-238.0,1.9090909090909092,-237.0,1.925925925925926,-238.5,1.9090909090909092,-236.5,1.9090909090909092,-238.0,1.9090909090909092,-238.0,1.925925925925926,-238.0,1.9090909090909092,-238.0,1.9090909090909092,-239.5,1.9090909090909092,-237.0,1.925925925925926
2024-03-01 02:00:00+00:00,Houston Rockets,0.78,0.7,231.5,1.9090909090909092,231.5,1.8928571428571428,231.5,1.9090909090909092,234.0,1.9090909090909092,231.5,1.9090909090909092,231.5,1.8928571428571428,231.5,1.9090909090909092,231.5,1.9090909090909092,233.5,1.9090909090909092,231.5,1.8928571428571428
2024-03-01 02:00:00+00:00,Phoenix Suns,,0.3,-231.5,1.9090909090909092,-231.5,1.925925925925926,-231.5,1.9090909090909092,-234.0,1.9090909090909092,-231.5,1.9090909090909092,-231.5,1.925925925925926,-231.5,1.9090909090909092,-231.5,1.9090909090909092,-233.5,1.9090909090909092,-231.5,1.925925925925926
2024-03-01 03:00:00+00:00,Miami Heat,0.56,0.14,214.5,1.9090909090909092,214.5,1.9090909090909092,214.5,1.9090909090909092,213.5,1.9090909090909092,214.0,1.9090909090909092,215.0,1.9523809523809523,214.5,1.9090909090909092,213.5,1.8928571428571428,221.5,1.9090909090909092,214.5,1.9090909090909092
2024-03-01 03:00:00+00:00,Denver Nuggets,,0.86,-214.5,1.9090909090909092,-214.5,1.9090909090909092,-214.5,1.9090909090909092,-213.5,1.9090909090909092,-214.0,1.9090909090909092,-215.0,1.8695652173913042,-214.5,1.9090909090909092,-213.5,1.9174311926605505,-221.5,1.9090909090909092,-214.5,1.9090909090909092
2024-03-01 03:30:00+00:00,Washington Wizards,0.37,0.7,243.0,1.9090909090909092,243.5,1.8928571428571428,243.5,1.9090909090909092,243.0,1.9090909090909092,243.5,1.9090909090909092,243.0,1.8695652173913042,243.0,1.9090909090909092,243.0,1.9174311926605505,241.5,1.9090909090909092,243.5,1.8928571428571428
2024-03-01 03:30:00+00:00,Los Angeles Lakers,,0.3,-243.0,1.9090909090909092,-243.5,1.925925925925926,-243.5,1.9090909090909092,-243.0,1.9090909090909092,-243.5,1.9090909090909092,-243.0,1.9523809523809523,-243.0,1.9090909090909092,-243.0,1.8928571428571428,-241.5,1.9090909090909092,-243.5,1.925925925925926
